wav_relpath,gt_emotion,gt_sensitivity,arousal,dominance,valence
3.분노/0006_G1A3E3S0C0_LHJ/0006_G1A3E3S0C0_LHJ_000776.wav,Angry,배은망덕하다,0.4859,0.5475,0.4317
3.분노/0044_G2A5E3S0C0_KTH/0044_G2A5E3S0C0_KTH_000712.wav,Angry,밉다,0.8111,0.7989,0.4148
3.분노/0006_G1A3E3S0C0_LHJ/0006_G1A3E3S0C0_LHJ_001741.wav,Angry,언짢다,0.5872,0.6412,0.3558
3.분노/0018_G2A3E3S0C0_JBR/0018_G2A3E3S0C0_JBR_000890.wav,Angry,부당하다,0.5762,0.6133,0.509
3.분노/0044_G2A5E3S0C0_KTH/0044_G2A5E3S0C0_KTH_001025.wav,Angry,뻔뻔스럽다,0.8481,0.7987,0.5532
3.분노/0018_G2A3E3S0C0_JBR/0018_G2A3E3S0C0_JBR_000180.wav,Angry,기막히다,0.6291,0.6575,0.5346
3.분노/0006_G1A3E3S0C0_LHJ/0006_G1A3E3S0C0_LHJ_001578.wav,Angry,언짢다,0.5221,0.5976,0.5745
3.분노/0043_G2A4E3S0C0_GYJ/0043_G2A4E3S0C0_GYJ_000203.wav,Angry,기막히다,0.497,0.5327,0.3455
3.분노/0006_G1A3E3S0C0_LHJ/0006_G1A3E3S0C0_LHJ_000953.wav,Angry,뻔뻔스럽다,0.5781,0.6122,0.563
3.분노/0018_G2A3E3S0C0_JBR/0018_G2A3E3S0C0_JBR_001812.wav,Angry,짜증스럽다,0.524,0.5923,0.5157
3.분노/0044_G2A5E3S0C0_KTH/0044_G2A5E3S0C0_KTH_001360.wav,Angry,억울하다,0.6852,0.6678,0.5335
3.분노/0006_G1A3E3S0C0_LHJ/0006_G1A3E3S0C0_LHJ_001206.wav,Angry,아니꼽다,0.6443,0.6544,0.4566
3.분노/0044_G2A5E3S0C0_KTH/0044_G2A5E3S0C0_KTH_001663.wav,Angry,언짢다,0.6919,0.6945,0.4022
3.분노/0043_G2A4E3S0C0_GYJ/0043_G2A4E3S0C0_GYJ_001108.wav,Angry,아니꼽다,0.6011,0.6359,0.6297
3.분노/0043_G2A4E3S0C0_GYJ/0043_G2A4E3S0C0_GYJ_000840.wav,Angry,부당하다,0.5123,0.5583,0.3989
3.분노/0043_G2A4E3S0C0_GYJ/0043_G2A4E3S0C0_GYJ_000287.wav,Angry,기막히다,0.6089,0.6366,0.5447
3.분노/0044_G2A5E3S0C0_KTH/0044_G2A5E3S0C0_KTH_000867.wav,Angry,부당하다,0.7588,0.7741,0.1848
3.분노/0006_G1A3E3S0C0_LHJ/0006_G1A3E3S0C0_LHJ_001634.wav,Angry,언짢다,0.5272,0.5756,0.3841
3.분노/0044_G2A5E3S0C0_KTH/0044_G2A5E3S0C0_KTH_000752.wav,Angry,배은망덕하다,0.5472,0.6098,0.4943
3.분노/0006_G1A3E3S0C0_LHJ/0006_G1A3E3S0C0_LHJ_001683.wav,Angry,언짢다,0.5112,0.5837,0.4868
3.분노/0006_G1A3E3S0C0_LHJ/0006_G1A3E3S0C0_LHJ_002114.wav,Angry,치욕스럽다,0.5776,0.593,0.5235
3.분노/0043_G2A4E3S0C0_GYJ/0043_G2A4E3S0C0_GYJ_001002.wav,Angry,뻔뻔스럽다,0.597,0.6288,0.6164
3.분노/0043_G2A4E3S0C0_GYJ/0043_G2A4E3S0C0_GYJ_001512.wav,Angry,언짢다,0.5739,0.6312,0.5485
3.분노/0006_G1A3E3S0C0_LHJ/0006_G1A3E3S0C0_LHJ_000709.wav,Angry,밉다,0.5728,0.5952,0.4721
3.분노/0044_G2A5E3S0C0_KTH/0044_G2A5E3S0C0_KTH_000511.wav,Angry,무례하다,0.6769,0.7078,0.5038
3.분노/0044_G2A5E3S0C0_KTH/0044_G2A5E3S0C0_KTH_001417.wav,Angry,억울하다,0.897,0.8964,0.2726
3.분노/0043_G2A4E3S0C0_GYJ/0043_G2A4E3S0C0_GYJ_001114.wav,Angry,아니꼽다,0.5658,0.5893,0.3551
3.분노/0018_G2A3E3S0C0_JBR/0018_G2A3E3S0C0_JBR_000201.wav,Angry,기막히다,0.697,0.7015,0.4056
3.분노/0018_G2A3E3S0C0_JBR/0018_G2A3E3S0C0_JBR_001099.wav,Angry,아니꼽다,0.611,0.6313,0.5609
3.분노/0018_G2A3E3S0C0_JBR/0018_G2A3E3S0C0_JBR_000884.wav,Angry,부당하다,0.6697,0.6742,0.2548
3.분노/0044_G2A5E3S0C0_KTH/0044_G2A5E3S0C0_KTH_001045.wav,Angry,아니꼽다,0.6262,0.667,0.4412
3.분노/0044_G2A5E3S0C0_KTH/0044_G2A5E3S0C0_KTH_001538.wav,Angry,언짢다,0.6745,0.6912,0.5518
3.분노/0043_G2A4E3S0C0_GYJ/0043_G2A4E3S0C0_GYJ_000214.wav,Angry,기막히다,0.5033,0.5642,0.3798
3.분노/0018_G2A3E3S0C0_JBR/0018_G2A3E3S0C0_JBR_000307.wav,Angry,기막히다,0.3653,0.4562,0.4374
3.분노/0043_G2A4E3S0C0_GYJ/0043_G2A4E3S0C0_GYJ_000455.wav,Angry,끔찍하다,0.5687,0.618,0.421
3.분노/0006_G1A3E3S0C0_LHJ/0006_G1A3E3S0C0_LHJ_000576.wav,Angry,밉다,0.5083,0.5804,0.457
3.분노/0043_G2A4E3S0C0_GYJ/0043_G2A4E3S0C0_GYJ_001100.wav,Angry,아니꼽다,0.4728,0.5286,0.5109
3.분노/0006_G1A3E3S0C0_LHJ/0006_G1A3E3S0C0_LHJ_000219.wav,Angry,기막히다,0.5445,0.6035,0.2624
3.분노/0018_G2A3E3S0C0_JBR/0018_G2A3E3S0C0_JBR_001607.wav,Angry,언짢다,0.5054,0.5611,0.4471
3.분노/0018_G2A3E3S0C0_JBR/0018_G2A3E3S0C0_JBR_000527.wav,Angry,무례하다,0.4661,0.5483,0.5716
3.분노/0006_G1A3E3S0C0_LHJ/0006_G1A3E3S0C0_LHJ_000445.wav,Angry,끔찍하다,0.6198,0.6474,0.6349
4.불안/0007_G1A4E4S0C0_JYS/0007_G1A4E4S0C0_JYS_000805.wav,Anxious,두렵다,0.6192,0.6322,0.32
4.불안/0026_G2A3E4S0C0_JSH/0026_G2A3E4S0C0_JSH_000103.wav,Anxious,갑갑하다,0.3771,0.4407,0.3875
4.불안/0014_G2A3E4S0C0_ASH/0014_G2A3E4S0C0_ASH_001318.wav,Anxious,심란하다,0.3996,0.4566,0.3579
4.불안/0012_G1A2E4S0C0_CHY/0012_G1A2E4S0C0_CHY_001133.wav,Anxious,심란하다,0.3277,0.4204,0.3919
4.불안/0014_G2A3E4S0C0_ASH/0014_G2A3E4S0C0_ASH_000714.wav,Anxious,두렵다,0.5674,0.5979,0.5941
4.불안/0014_G2A3E4S0C0_ASH/0014_G2A3E4S0C0_ASH_000467.wav,Anxious,다급하다,0.5889,0.6103,0.3623
4.불안/0012_G1A2E4S0C0_CHY/0012_G1A2E4S0C0_CHY_000852.wav,Anxious,불확실하다,0.4262,0.5084,0.3218
4.불안/0014_G2A3E4S0C0_ASH/0014_G2A3E4S0C0_ASH_000213.wav,Anxious,고통스럽다,0.5618,0.6032,0.6488
4.불안/0012_G1A2E4S0C0_CHY/0012_G1A2E4S0C0_CHY_001238.wav,Anxious,심란하다,0.3993,0.4761,0.5369
4.불안/0007_G1A4E4S0C0_JYS/0007_G1A4E4S0C0_JYS_000424.wav,Anxious,다급하다,0.6099,0.6469,0.4143
4.불안/0026_G2A3E4S0C0_JSH/0026_G2A3E4S0C0_JSH_000895.wav,Anxious,불확실하다,0.5597,0.5545,0.2774
4.불안/0007_G1A4E4S0C0_JYS/0007_G1A4E4S0C0_JYS_001623.wav,Anxious,위험하다,0.5111,0.5474,0.4939
4.불안/0026_G2A3E4S0C0_JSH/0026_G2A3E4S0C0_JSH_000548.wav,Anxious,두렵다,0.3924,0.4335,0.2869
4.불안/0014_G2A3E4S0C0_ASH/0014_G2A3E4S0C0_ASH_000076.wav,Anxious,갑갑하다,0.327,0.4098,0.4233
4.불안/0007_G1A4E4S0C0_JYS/0007_G1A4E4S0C0_JYS_001853.wav,Anxious,의심스럽다,0.5341,0.5654,0.5728
4.불안/0026_G2A3E4S0C0_JSH/0026_G2A3E4S0C0_JSH_000471.wav,Anxious,다급하다,0.5047,0.5624,0.551
4.불안/0007_G1A4E4S0C0_JYS/0007_G1A4E4S0C0_JYS_001927.wav,Anxious,조마조마하다,0.5328,0.5662,0.4181
4.불안/0012_G1A2E4S0C0_CHY/0012_G1A2E4S0C0_CHY_001149.wav,Anxious,심란하다,0.374,0.4874,0.5719
4.불안/0026_G2A3E4S0C0_JSH/0026_G2A3E4S0C0_JSH_001020.wav,Anxious,수상하다,0.4079,0.4644,0.4749
4.불안/0007_G1A4E4S0C0_JYS/0007_G1A4E4S0C0_JYS_001962.wav,Anxious,조마조마하다,0.5963,0.6155,0.4204
4.불안/0012_G1A2E4S0C0_CHY/0012_G1A2E4S0C0_CHY_001468.wav,Anxious,약하다,0.2596,0.3602,0.4201
4.불안/0007_G1A4E4S0C0_JYS/0007_G1A4E4S0C0_JYS_001455.wav,Anxious,아득하다,0.475,0.5438,0.4965
4.불안/0026_G2A3E4S0C0_JSH/0026_G2A3E4S0C0_JSH_000570.wav,Anxious,두렵다,0.5092,0.4936,0.2445
4.불안/0014_G2A3E4S0C0_ASH/0014_G2A3E4S0C0_ASH_001316.wav,Anxious,심란하다,0.4233,0.4883,0.5481
4.불안/0007_G1A4E4S0C0_JYS/0007_G1A4E4S0C0_JYS_001865.wav,Anxious,의심스럽다,0.4231,0.5062,0.4694
4.불안/0026_G2A3E4S0C0_JSH/0026_G2A3E4S0C0_JSH_000157.wav,Anxious,고통스럽다,0.4705,0.4941,0.2454
4.불안/0026_G2A3E4S0C0_JSH/0026_G2A3E4S0C0_JSH_001218.wav,Anxious,심란하다,0.4564,0.5123,0.4611
4.불안/0012_G1A2E4S0C0_CHY/0012_G1A2E4S0C0_CHY_001721.wav,Anxious,의심스럽다,0.3702,0.4502,0.5209
4.불안/0012_G1A2E4S0C0_CHY/0012_G1A2E4S0C0_CHY_000609.wav,Anxious,두렵다,0.3324,0.4468,0.4124
4.불안/0014_G2A3E4S0C0_ASH/0014_G2A3E4S0C0_ASH_000290.wav,Anxious,꺼림칙하다,0.6118,0.6292,0.4032
4.불안/0007_G1A4E4S0C0_JYS/0007_G1A4E4S0C0_JYS_000347.wav,Anxious,꺼림칙하다,0.5367,0.5812,0.4245
4.불안/0012_G1A2E4S0C0_CHY/0012_G1A2E4S0C0_CHY_000368.wav,Anxious,다급하다,0.5224,0.5756,0.3515
4.불안/0026_G2A3E4S0C0_JSH/0026_G2A3E4S0C0_JSH_000246.wav,Anxious,꺼림칙하다,0.3556,0.4562,0.5156
4.불안/0007_G1A4E4S0C0_JYS/0007_G1A4E4S0C0_JYS_000737.wav,Anxious,두렵다,0.5304,0.5735,0.54
4.불안/0007_G1A4E4S0C0_JYS/0007_G1A4E4S0C0_JYS_000534.wav,Anxious,두렵다,0.4794,0.5812,0.1151
4.불안/0007_G1A4E4S0C0_JYS/0007_G1A4E4S0C0_JYS_001646.wav,Anxious,의심스럽다,0.521,0.5879,0.5451
4.불안/0026_G2A3E4S0C0_JSH/0026_G2A3E4S0C0_JSH_001655.wav,Anxious,의심스럽다,0.4236,0.4745,0.2903
4.불안/0007_G1A4E4S0C0_JYS/0007_G1A4E4S0C0_JYS_001860.wav,Anxious,의심스럽다,0.5175,0.5789,0.3506
4.불안/0012_G1A2E4S0C0_CHY/0012_G1A2E4S0C0_CHY_001512.wav,Anxious,위험하다,0.3634,0.4538,0.5259
